XTime (sec) (Time  sec)a:y(Car body) a:y(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection Y (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:z(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection Z (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:x(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection X (a:y(Car body)),
1.995375,0.069234453,-0.38695681,-0.0063601132
2.000375,0.080013812,-0.30718628,0.008271276
2.0053749,0.069209859,-0.27751008,0.023618361
2.011375,0.047881577,-0.25366908,0.045210551
2.0153749,0.063149512,-0.21335551,0.04957705
2.020375,0.04091714,-0.17552558,0.034708068
2.0253749,0.033648901,-0.11495923,0.023104848
2.030375,0.030881321,-0.087071262,-0.0026261644
2.0353751,0.012118762,-0.01354583,-0.011330126
2.040375,-0.0019518493,0.075235032,-0.017723991
2.0453751,-0.0088093178,0.16825354,-0.029080236
2.050375,-0.010010392,0.21079524,-0.026835203
2.0553751,-0.011185359,0.20776662,-0.028758241
2.060375,-0.012394145,0.21259387,-0.026622947
2.066375,-0.008482446,0.21297434,-0.032702737
2.070375,-0.005003043,0.20372124,-0.046234183
2.0753751,-0.0086026052,0.22208588,-0.052243982
2.080375,-0.023161216,0.23771107,-0.048812218
2.0853751,0.006784996,0.21755178,-0.071980402
2.0903749,0.016574472,0.30287421,-0.078533046
2.0953751,-0.031950705,0.21572228,-0.054352332
2.1003749,-0.032525498,0.19495308,-0.045367021
2.1053751,-0.065138958,0.080056623,-0.070364438
2.1103749,-0.092524916,0.022902837,-0.030924648
2.115375,-0.11289738,-0.04233494,-0.037262674
2.1203749,-0.11939519,-0.14449798,-0.012581881
2.125375,-0.11444039,-0.12090263,-0.042746659
2.1303749,-0.14932249,-0.21645355,-0.028329613
2.135375,-0.14929029,-0.32012436,0.0076129762
2.1403749,-0.13460283,-0.38399419,0.019322261
2.145375,-0.13406657,-0.36146718,0.021947712
2.1508751,-0.14434008,-0.31167015,0.060601313
2.155875,-0.093963824,-0.32396969,0.077959456
2.1608751,-0.046119262,-0.21148516,0.08765085
2.165875,-0.027201988,-0.074392557,0.10723285
2.1708751,-0.015752418,0.023305276,0.1211884
2.1758749,0.010202721,0.22256425,0.12005543
2.1808751,0.016687326,0.33166492,0.11193642
2.1858749,0.023434967,0.40891445,0.10633442
2.1908751,0.029921407,0.31932265,0.094547458
2.1958749,0.021817928,0.28330436,0.079643093
2.200875,0.023460062,0.27764717,0.083815031
2.2058749,0.027918922,0.26600394,0.082099557
2.210875,0.020309487,0.1629627,0.055154938
2.2158749,0.048748448,0.081081435,0.032586966
2.220875,0.046201326,0.0563371,0.023375092
2.2268751,0.047627106,0.040376,0.014111903
2.230875,0.022760542,0.0021699187,0.012410463
2.2358749,0.045842499,-0.05723986,-0.012609079
2.2418749,0.061350066,-0.018421588,-0.064723834
2.2458749,0.05752214,-0.048163272,-0.071559533
2.250875,0.04337601,-0.05747724,-0.068570107
2.2558751,0.043428019,-0.017253291,-0.056215167
2.260875,0.035633955,0.0055720108,-0.032424837
2.2658751,0.02259838,0.0011329029,-0.0048546507
2.270875,0.028641634,-0.091408886,0.0091622649
2.2758751,0.0076146699,-0.15730305,0.010520921
2.280875,0.027982006,-0.20517862,0.016957799
2.2858751,0.013748467,-0.24261613,0.023630003
2.290875,-0.0069710487,-0.1740443,0.013568361
2.2958751,0.010842093,-0.087440982,0.011141387
2.3008749,0.004056544,-0.10310128,0.019364312
2.3058751,-0.011435716,-0.1139333,0.014492374
2.3108749,0.003599297,-0.094360448,0.014285854
2.3158751,0.0047909198,-0.073371597,0.028653337
2.3208749,-0.021222321,0.0062233629,0.02724541
2.325875,-0.019552439,0.054942578,0.045329727
2.3308749,-0.031961292,0.17526171,0.062230762
2.335875,-0.041686323,0.32963255,0.045956239
2.3408749,-0.02357736,0.41298407,0.047839385
2.345875,-0.057770353,0.40044317,0.062533669
2.3508749,-0.10491548,0.42844737,0.077407308
2.355875,-0.065632746,0.41113898,0.065271251
2.3618751,-0.08341904,0.35544318,0.059647888
2.365875,-0.095351994,0.32754415,0.053347986
2.3708749,-0.074639849,0.29426941,0.036608439
2.375875,-0.090210788,0.26623687,0.040185325
2.3808751,-0.091076434,0.21698686,0.0098472172
2.385875,-0.091190845,0.086869828,-0.014235227
2.3908751,-0.066616863,-0.014518521,-0.032387923
2.395875,-0.056816086,-0.04095751,-0.052029621
2.401875,-0.049711555,-0.056341719,-0.05402774
2.405875,-0.014411702,-0.048781976,-0.058828421
2.4103751,-0.024233771,-0.042721976,-0.071947142
2.415875,0.0017652165,-0.098882772,-0.087264039
2.4208751,0.018898904,-0.10004028,-0.099144302
2.4258749,0.044094864,-0.089078359,-0.082311526
2.4308751,0.085206993,-0.2404554,-0.10212452
2.4358749,0.087568872,-0.34602997,-0.12864096
2.4408751,0.12985162,-0.42407671,-0.13325906
2.4458749,0.1493298,-0.33144003,-0.11334687
2.450875,0.17310436,-0.26109913,-0.10593924
2.4558749,0.18567581,-0.21397285,-0.10716362
2.460875,0.18942422,-0.24192914,-0.10125368
2.4658749,0.23020221,-0.22348447,-0.10146264
2.471875,0.24618697,-0.21904346,-0.087863341
2.4758749,0.24708582,-0.24683729,-0.074476145
2.480875,0.24302511,-0.24226001,-0.045181677
2.4858749,0.30348375,-0.22393544,-0.018393388
2.490875,0.33143449,-0.24938075,0.01125056
2.4958749,0.35048309,-0.16144764,0.01872419
2.500875,0.3817713,-0.027063504,0.019927591
2.5058751,0.39242834,-0.036166053,-0.00083842175
2.510875,0.394389,-0.01093646,-0.003302485
2.5158751,0.40620035,-0.057043903,-0.0029164033
2.520875,0.40236276,-0.051306199,-0.0036708105
2.526875,0.43008521,-0.026596958,0.0065251486
2.530875,0.402908,0.038239457,0.0078103035
2.5358751,0.39310348,0.037799455,-0.025166837
2.540875,0.40915856,-0.00022853642,-0.0046604136
2.546875,0.39850354,-0.050275102,0.012725769
2.5508749,0.35920972,-0.004757795,0.0052179019
2.5558751,0.36252457,0.069803841,-0.025571886
2.5608749,0.37747455,0.043199833,-0.017188611
2.5658751,0.34532788,0.053205062,0.005373409
2.5708749,0.316356,0.11384912,0.026928399
2.575875,0.2919125,0.16301067,0.053808745
2.5818751,0.26431969,0.24322365,0.075117134
2.585875,0.23795964,0.2876853,0.084295362
2.5918751,0.20936897,0.32433113,0.10809665
2.595875,0.18998867,0.34649837,0.15302396
2.6008749,0.17221509,0.2591354,0.16430302
2.605875,0.12874901,0.18810883,0.13616627
2.6108749,0.10697843,0.14858906,0.14626554
2.615875,0.071774982,0.13475373,0.16820513
2.621875,0.052346975,0.15291925,0.1715011
2.625875,0.035939403,0.23034383,0.14381999
2.6308751,0.0056712981,0.30016664,0.10596155
2.635875,-0.034889735,0.26385313,0.11862914
2.6408751,-0.027402129,0.3004843,0.094373591
2.6468749,-0.02857133,0.28567234,0.090087622
