XDistance (m) (Distance  m)mm Left rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Right rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Left rail  horizontal irregularities (mm);Distance (m) (Distance  m)mm Right rail  horizontal irregularities (mm);
33.400002;0.07198292;0.062990069;-0.011646573;-0.016775284
33.5;0.071890652;0.063438177;-0.011223328;-0.017336523
33.599998;0.071616761;0.06379097;-0.011043454;-0.017963085
33.700001;0.071269341;0.064039424;-0.011057252;-0.018655308
33.799999;0.070960179;0.064167649;-0.011197677;-0.019403838
33.900002;0.070786983;0.064163692;-0.011394396;-0.020189386
34;0.070818543;0.064032122;-0.011587678;-0.020984065
34.099998;0.071085691;0.063803792;-0.011738842;-0.021754425
34.200001;0.071579464;0.063539244;-0.011835203;-0.02246622
34.299999;0.072256215;0.0633239;-0.01188862;-0.023090065
34.400002;0.07304807;0.063255936;-0.01192856;-0.023606978
34.5;0.073876351;0.063429818;-0.011991773;-0.024012353
34.599998;0.074665144;0.063919641;-0.012111422;-0.024317365
34.700001;0.075352862;0.064766243;-0.012308572;-0.024547335
34.799999;0.075899988;0.065970734;-0.012588128;-0.024737507
34.900002;0.076292261;0.067495026;-0.012940127;-0.024927452
35;0.076539293;0.069268212;-0.013345786;-0.025155522
35.099998;0.076669559;0.071196496;-0.013786368;-0.025454719
35.200001;0.076722659;0.073173888;-0.014252177;-0.025850512
35.299999;0.076740727;0.075092129;-0.014748811;-0.026360247
35.400002;0.076760367;0.076848984;-0.015298555;-0.026993081
35.5;0.076806754;0.078355566;-0.015935997;-0.027749158
35.599998;0.076890677;0.079543248;-0.016698655;-0.028617339
35.700001;0.077008948;0.080370665;-0.017614774;-0.029571634
35.799999;0.077147588;0.080830246;-0.018691542;-0.030567957
35.900002;0.077286579;0.080952331;-0.019907035;-0.031543359
36;0.077404387;0.080804661;-0.021208577;-0.032420013
36.099998;0.077480793;0.080485106;-0.022518627;-0.033115044
36.200001;0.077496916;0.080107249;-0.023747534;-0.03355553
36.299999;0.0774327;0.079780571;-0.024810614;-0.033695765
36.400002;0.077262975;0.079588957;-0.025645934;-0.033532381
36.5;0.07695432;0.079573028;-0.026228711;-0.033112511
36.599998;0.076465093;0.079721391;-0.026579076;-0.032531418
36.700001;0.07575012;0.079974115;-0.026761357;-0.031918429
36.799999;0.074770369;0.080238871;-0.026874943;-0.031413436
36.900002;0.0735057;0.08041615;-0.027038768;-0.031139141
37;0.071967527;0.080427587;-0.027372561;-0.031175837
37.099998;0.070207216;0.080239773;-0.027978623;-0.031545449
37.200001;0.068316512;0.079876728;-0.028927363;-0.032209184
37.299999;0.066418253;0.079417527;-0.030248728;-0.033079531
37.400002;0.064647935;0.078978889;-0.031930238;-0.034043431
37.5;0.063129872;0.078687578;-0.033921;-0.03499018
37.599998;0.061953187;0.078649402;-0.036140136;-0.035836499
37.700001;0.061153974;0.078923211;-0.03848784;-0.036542159
37.799999;0.060708441;0.079506516;-0.040857304;-0.03711262
37.900002;0.060539249;0.080335908;-0.043146241;-0.037588958
38;0.060533967;0.081301913;-0.045267247;-0.038029436
38.099998;0.060570873;0.082273297;-0.047156289;-0.03848904
38.200001;0.060545888;0.083124578;-0.048778769;-0.039003681
38.299999;0.060393639;0.083759643;-0.050132409;-0.039583769
38.400002;0.06009772;0.084126174;-0.051246122;-0.040218294
38.5;0.059688099;0.084218778;-0.052174531;-0.040887106
38.599998;0.05922712;0.084071539;-0.052988272;-0.041575998
38.700001;0.058788821;0.083743602;-0.053761508;-0.042288758
38.799999;0.058437172;0.083302036;-0.054558929;-0.043051187
38.900002;0.058209237;0.082806282;-0.055425156;-0.043905228
39;0.05810681;0.082296878;-0.056379367;-0.04489477
39.099998;0.058097634;0.081789397;-0.057416737;-0.04604765
39.200001;0.058124498;0.081273064;-0.058516651;-0.047359999
39.299999;0.058118671;0.080712989;-0.059655376;-0.04878819
