X a:y(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Z,
2.4056251,0,-0.0076918541
2.410625,0,0.011460071
2.416625,0,0.0057013496
2.420625,0,-0.008729239
2.426625,0,-0.0015383471
2.430125,0,0.0020187602
2.4351251,0,-0.0099362116
2.440125,0,-0.0052165529
2.4451251,0,-0.0047842921
2.4511249,0,-0.0058974633
2.4551251,0,-0.0027282829
2.4611249,0,0.051024061
2.4651251,0,0.0033869301
2.470125,0,-0.0066162138
2.476125,0,-0.0098645873
2.480125,0,-0.0070951721
2.486125,0,-0.021821911
2.4901249,0,-0.0044109165
2.4951251,0,-0.0061184908
2.5011251,0,-0.0043112575
2.505125,0,-0.0069385362
2.5111251,0,-0.049167428
2.515125,0,0.016064074
2.5201249,0,-0.003697091
2.525125,0,0.00037603578
2.5301249,0,-0.010220554
2.5361249,0,0.012422991
2.5401249,0,0.03179555
2.545125,0,-0.0032159514
2.551125,0,-0.053354006
2.555125,0,0.019554731
2.561125,0,0.016078798
2.565125,0,0.0010063199
2.5701251,0,0.0013642326
2.575125,0,0.0044155284
2.5801251,0,-0.0005014101
2.5861249,0,-0.0022221622
2.5901251,0,-0.058621772
2.595125,0,-0.0029313939
2.6001251,0,0.0096135521
2.605125,0,0.026871299
2.611125,0,-0.0069859098
2.6151249,0,-0.0022236742
2.6201251,0,0.026835086
2.6261251,0,0.0062504364
2.630125,0,-0.023647828
2.6361251,0,-0.0060262061
2.640125,0,0.023152476
2.6451249,0,0.0013151878
2.650125,0,0.0032894819
2.6551249,0,-0.0072938306
2.6611249,0,-0.0053108186
2.6651249,0,-0.0019302439
2.670125,0,9.3131537E-0005
2.6751249,0,-0.0058637741
2.680625,0,-0.0035060686
2.6856251,0,-0.0037907946
2.6916251,0,0.0012348151
2.6956251,0,-0.0022026249
2.7016251,0,-0.0068029356
2.7056251,0,-0.01655025
2.7106249,0,0.0015542043
2.715625,0,0.00010095063
2.7206249,0,-0.002490273
2.726625,0,-0.0088566178
2.7306249,0,0.010929829
2.735625,0,0.00040464362
2.7406249,0,0.0018906764
2.745625,0,0.0019568494
2.7516251,0,0.014708511
2.755625,0,0.053327378
2.7606249,0,0.018411929
2.765625,0,-0.0012031643
2.7706251,0,-0.029435245
2.7766249,0,-0.0056257038
2.7806251,0,-0.02400041
2.785625,0,0.0010917502
2.791625,0,0.00075925986
2.795625,0,-0.009933929
2.801625,0,-0.0055356091
2.805625,0,0.0045427307
2.8106251,0,-0.035118956
2.815625,0,-0.004774184
2.8206251,0,-0.0044352165
2.8266251,0,-0.006906264
2.8306251,0,-0.016849507
2.8366251,0,-0.0035190617
2.8401251,0,-0.0013742393
2.845125,0,0.020529043
2.8501251,0,0.018439036
2.855125,0,0.012189823
2.861125,0,0.0097768148
2.8651249,0,0.0052756793
2.871125,0,-0.0041989656
2.8751249,0,0.031573847
2.880125,0,-0.00091217196
2.8851249,0,0.0060808235
2.890125,0,-0.0037298377
2.8961251,0,0.0071657323
2.900125,0,-0.015864832
2.9051249,0,-0.0027411543
2.910125,0,-0.00032647353
2.9151249,0,0.005715997
2.9211249,0,-0.01400841
2.9251249,0,-0.021252712
2.930125,0,0.019253753
2.9351251,0,0.0070472648
2.940125,0,-0.0079075927
