X a:y(Bogie1.Bogie) - Acceleration of point (1.2 -1 1.1) of body Bogie1.Bogie relative to Base0  SC Base0  projection Y, a:z(Bogie1.Bogie) - Acceleration of point (1.2 -1 1.1) of body Bogie1.Bogie relative to Base0  SC Base0  projection Z,
2.4356251,-6.7279668,-13.510963
2.440625,-8.6916542,-14.840153
2.4456251,-8.500639,-15.063683
2.4506249,-7.045671,-14.183528
2.4556251,-4.7265549,-12.22748
2.4606249,-1.9654661,-9.3204546
2.465625,0.2575278,-5.6660118
2.4706249,1.298876,-1.5136024
2.475625,1.483052,2.8177731
2.4806249,1.0573769,6.8398404
2.485625,0.18022859,10.144657
2.4906249,-0.57314909,12.504203
2.495625,-1.1165671,13.766486
2.5006249,-1.2280542,13.859444
2.505625,-0.53853351,12.828342
2.5106249,0.95505685,10.477043
2.515625,2.6667883,7.0000291
2.5206251,4.4586916,2.8749063
2.525625,6.3203201,-1.2149209
2.5306251,7.5382528,-4.7674603
2.535625,6.9664016,-7.5013103
2.5406251,4.3190746,-9.453002
2.545625,0.84347898,-10.554399
2.5506251,-2.8121445,-11.11099
2.555625,-5.4940128,-10.928417
2.5606251,-6.7467408,-10.040598
2.565625,-7.8456421,-8.6081448
2.5706251,-7.8950553,-6.165556
2.5756249,-4.8878584,-2.9279921
2.5806251,-0.66945261,0.39816031
2.5856249,-0.55264932,3.2398057
2.590625,-2.3051431,6.0017581
2.5956249,-5.0209031,8.4482307
2.600625,-3.7264934,9.7100191
2.6056249,-1.9950417,9.6517315
2.610625,-2.2482367,8.4754457
2.6156249,-3.0003653,6.3169651
2.620625,-2.9408805,3.0592089
2.6256249,-2.8588862,-1.0531398
2.630625,-3.5323513,-5.5621881
2.6356249,-4.2426705,-10.032943
2.640625,-4.506196,-13.902963
2.6456251,-2.6582446,-16.54113
2.650625,-1.090638,-17.814873
2.6556251,-0.70967758,-17.546539
2.660625,-0.6715582,-15.522775
2.6656251,-0.54302216,-11.708323
2.670625,-0.687087,-6.533505
2.6756251,-1.1841568,-0.56548363
2.680625,-1.4978247,5.6113253
2.6856251,-1.0498095,11.38541
2.690625,-0.080543652,16.231136
2.6956251,1.038617,19.600918
2.7006249,2.4110234,21.097538
2.7056251,4.2521787,20.543478
2.7106249,5.5291123,18.091822
2.715625,6.048893,13.904428
2.7206249,6.0156021,8.3548632
2.725625,7.1981521,1.7410648
2.7306249,6.539434,-4.5909581
2.735625,3.7082362,-10.322917
2.7406249,1.1006882,-15.214048
2.745625,-0.55575264,-18.767698
2.7506249,-2.1530147,-20.334509
2.755625,-4.2233901,-19.720186
2.7606249,-5.3909245,-17.359886
2.765625,-5.0170078,-13.715283
2.7706251,-3.7270741,-8.9778852
2.775625,-2.1918383,-3.5534384
2.7806251,-2.0137515,2.22104
2.785625,-4.4557819,7.5421405
2.7906251,-4.3811502,11.501832
2.795625,-0.52685267,13.801253
2.8006251,-0.99628752,14.955925
2.805625,-3.6309116,14.259811
2.8106251,-3.9639614,11.442876
2.815625,-1.7960371,7.289978
