X a:y(Vehicle body) - Acceleration of point (0 0 0) of body Vehicle body relative to Base0  SC Base0  projection Y, a:z(Vehicle body) - Acceleration of point (0 0 0) of body Vehicle body relative to Base0  SC Base0  projection Z,
1.510125,-3.4711826E-0007,-0.010408316
1.515125,-3.4673818E-0007,-0.0095869983
1.520125,-3.4649139E-0007,-0.0087619126
1.525125,-3.4636437E-0007,-0.0079340246
1.530125,-3.4659567E-0007,-0.0071043265
1.535125,-3.4715714E-0007,-0.0062737959
1.540125,-3.469813E-0007,-0.0054433756
1.545125,-3.4433523E-0007,-0.0046140058
1.550125,-3.4059926E-0007,-0.0037866442
1.555125,-3.3742114E-0007,-0.0029622328
1.560125,-3.3516497E-0007,-0.0021416957
1.565125,-3.3330787E-0007,-0.001325943
1.570125,-3.3104769E-0007,-0.00051587162
1.575125,-3.2772786E-0007,0.0002876402
1.580125,-3.2299334E-0007,0.0010837287
1.585125,-3.1680065E-0007,0.0018715421
1.590125,-3.0933958E-0007,0.0026502425
1.595125,-3.0095958E-0007,0.0034190088
1.600125,-2.9202295E-0007,0.0041770381
1.605125,-2.8290773E-0007,0.0049235481
1.6101249,-2.7388185E-0007,0.0056577818
1.6151249,-2.6516074E-0007,0.0063790055
1.6201251,-2.5684542E-0007,0.0070865052
1.6251251,-2.4895749E-0007,0.0077795861
1.630125,-2.4141502E-0007,0.0084575731
1.635125,-2.3409659E-0007,0.0091198143
1.640125,-2.2679232E-0007,0.0097656827
1.645125,-2.1806272E-0007,0.01039458
1.650125,-2.0339421E-0007,0.011005923
1.655125,-1.8619406E-0007,0.011599164
1.660125,-1.7304909E-0007,0.012173795
1.665125,-1.6681703E-0007,0.012729317
1.670125,-1.6633845E-0007,0.013265258
1.675125,-1.6855849E-0007,0.013781171
1.680125,-1.7032565E-0007,0.014276642
1.685125,-1.6934476E-0007,0.014751281
1.690125,-1.6443416E-0007,0.015204727
1.695125,-1.5542851E-0007,0.015636653
1.700125,-1.429558E-0007,0.016046755
1.705125,-1.281166E-0007,0.016434763
1.710125,-1.122436E-0007,0.016800426
1.715125,-9.664209E-0008,0.017143523
1.720125,-8.2405954E-0008,0.017463861
1.725125,-7.0258849E-0008,0.017761273
1.730125,-6.054163E-0008,0.018035624
1.7351249,-5.3162648E-0008,0.018286806
1.7401249,-4.7742297E-0008,0.018514732
1.7451251,-4.3686931E-0008,0.018719349
1.7501251,-4.0310248E-0008,0.018900624
1.755125,-3.6972025E-0008,0.019058555
1.760125,-3.3180303E-0008,0.019193169
1.765125,-2.8595391E-0008,0.019304514
1.770125,-2.3159105E-0008,0.019392671
1.775125,-1.7727826E-0008,0.019457739
1.780125,-7.6989606E-0009,0.019499855
1.785125,6.6555366E-0009,0.019519174
1.790125,1.9249901E-0008,0.019515885
1.795125,2.4510259E-0008,0.01949021
1.800125,2.2317758E-0008,0.019442365
1.805125,1.7273591E-0008,0.019372588
1.810125,1.3504311E-0008,0.019281153
1.815125,1.2987891E-0008,0.019168345
1.820125,1.6001728E-0008,0.019034464
1.825125,2.1844006E-0008,0.018879868
