XTime (sec) (Time  sec)a:y(Car body) a:y(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Y (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:z(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Z (a:y(Car body)),
3.885875,0,-0.0056727771
3.891875,0,0.002458883
3.895875,0,0.060246494
3.9008751,0,-0.013531944
3.905875,0,0.00074046955
3.9108751,0,-0.0088489885
3.9168749,0,-0.008821601
3.9208751,0,0.0059800432
3.9258749,0,-0.018941317
3.9308751,0,0.051236421
3.9358749,0,0.0094676279
3.941875,0,0.011535306
3.9458749,0,-5.9885035E-0005
3.950875,0,-0.055121683
3.9558749,0,0.011641377
3.960875,0,0.00013095177
3.9668751,0,-0.0014128677
3.970875,0,0.016754735
3.9768751,0,0.025573904
3.980875,0,-0.0020109902
3.9858749,0,0.0056434334
3.9918749,0,-0.019402744
3.9958749,0,0.019293487
4.000875,0,-0.092020229
4.0058751,0,-0.0012256135
4.0108752,0,-0.0054226061
4.0168748,0,-0.019050477
4.020875,0,-0.0048342124
4.026875,0,0.038329598
4.0308752,0,-0.010230654
4.0358748,0,-0.013610993
4.0418749,0,-0.042699751
4.0458751,0,0.012531288
4.0508752,0,0.038943097
4.0558748,0,-0.021941958
4.0608749,0,-0.0028857293
4.066875,0,0.0034418083
4.0708752,0,-0.0040078941
4.0768752,0,-0.050582867
4.0808749,0,0.010461168
4.085875,0,0.0064779017
4.0918751,0,0.030623196
4.0958748,0,0.0012542189
4.1018748,0,-0.02253999
4.105875,0,0.0088756839
4.1108751,0,0.022709848
4.1168752,0,0.015235359
4.1208749,0,0.015120966
4.1268749,0,0.020180009
4.1308751,0,0.011109271
4.1358752,0,0.01212028
4.1408749,0,0.0067587439
4.145875,0,-0.010044734
4.151875,0,-0.031427003
4.1558752,0,0.017631309
4.1608748,0,-0.017856369
4.1668749,0,0.01113932
4.1708751,0,-0.023000762
4.1768751,0,-0.030283304
4.1808748,0,-0.02440021
4.1858749,0,-0.0059497589
4.191875,0,-0.012065544
4.1958752,0,-0.0067795003
4.2018752,0,-0.004307685
4.2058749,0,-0.038667195
4.210875,0,0.0013793448
4.2158751,0,0.0005264263
4.2208748,0,0.00015827175
4.2268748,0,0.017632244
4.230875,0,0.015063335
4.2358751,0,0.0054660859
4.2408748,0,0.010292884
4.2458749,0,0.01022477
4.2518749,0,0.0024071403
4.2558751,0,-0.045071609
4.2608752,0,0.0058587161
4.2658749,0,0.0056693661
4.270875,0,0.030531749
4.276875,0,0.0095328847
4.2808752,0,0.018685719
4.2858748,0,0.0026770828
