X a:y(Car body) - Acceleration of point (6 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (6 0 1) of body Car body relative to Base0  SC Base0  projection Z,
3.9251249,0,0.014702335
3.930125,0,0.091043986
3.9351251,0,-0.019156124
3.940125,0,-0.018726433
3.946125,0,-0.0043851482
3.950125,0,0.038108137
3.956125,0,-0.17573763
3.960125,0,-0.03175753
3.9651251,0,0.0041930936
3.9711249,0,0.056010902
3.9751251,0,-0.032061715
3.980125,0,-0.1099712
3.9851251,0,0.06871704
3.9901249,0,-0.016594619
3.996125,0,-0.0066715432
4.0001249,0,-0.034545079
4.005125,0,-0.0057092914
4.0101252,0,-0.001239217
4.0151248,0,0.0044337302
4.0211248,0,-0.010255297
4.025125,0,-0.00066527585
4.0311251,0,-0.0309158
4.0351248,0,-0.00037756146
4.0401249,0,-0.0034938189
4.0456252,0,-0.021771438
4.0506248,0,0.01603909
4.055625,0,-0.013846203
4.061625,0,-0.016203962
4.0656252,0,-0.019135108
4.0716252,0,-0.035723612
4.0756249,0,-0.0029004735
4.0806251,0,0.0071358527
4.0866251,0,-0.036079697
4.0906248,0,0.060227785
4.0966249,0,-0.27146441
4.100625,0,0.015733767
4.105125,0,-0.0021766643
4.1101251,0,-0.0043457383
4.1151252,0,-0.0063904845
4.1211252,0,0.049842615
4.1251249,0,-0.012432641
4.130125,0,-0.092180654
4.1351252,0,0.08063262
4.1401248,0,0.016673913
4.1461248,0,-0.0056168996
4.150125,0,0.0015547238
4.1551251,0,-0.052203614
4.1601248,0,-0.0076004211
4.1651249,0,-0.0096330829
4.1711249,0,-0.0051846327
4.1751251,0,-0.0096762162
4.1811252,0,-0.024663944
4.1851249,0,-0.010692411
4.190125,0,-0.014777659
4.196125,0,-0.0095778285
4.2001252,0,-0.010472848
4.2061248,0,-0.013891018
4.210125,0,-0.0022521412
4.2151251,0,-0.014233441
4.2206249,0,-0.039100457
4.225625,0,0.023651037
4.2306252,0,-0.045136161
4.2366252,0,-0.033394881
4.2406249,0,0.047870815
4.2466249,0,0.027807117
4.2506251,0,-0.012805142
4.2556248,0,0.0033221289
4.2616248,0,0.0044324179
4.265625,0,0.0061062244
4.271625,0,0.038368575
4.2756252,0,0.029620942
4.2806249,0,0.014959771
4.2866249,0,-0.014673562
4.2906251,0,0.0098449634
4.2956252,0,-0.05553478
4.3006248,0,0.011618289
4.305625,0,-0.0059599536
4.311625,0,-0.0067454102
4.3156252,0,-0.0073072915
4.3216252,0,-0.015939368
4.3256249,0,-0.0075961035
4.3301249,0,-0.0050765867
4.335125,0,0.0061921524
4.3401251,0,-0.014953068
4.3461251,0,-0.018832235
4.3501248,0,-0.012353741
4.3561249,0,-0.019036118
4.3601251,0,0.016968962
4.3651252,0,0.0035335938
4.3701248,0,-0.010754894
4.3751249,0,-0.025325406
4.381125,0,-0.016632665
4.3851252,0,-0.082158305
4.3901248,0,-0.0093444511
4.3951249,0,0.015081783
4.400125,0,0.044737734
4.4061251,0,0.001262016
4.4101248,0,0.025935687
4.4151249,0,0.0071380413
4.4211249,0,-0.0041092495
4.4251251,0,0.032178905
4.4311252,0,0.027702725
4.4351249,0,0.054165039
4.440125,0,0.022947857
4.446125,0,0.01693346
4.4501252,0,0.010310275
4.4561248,0,0.0022736616
4.460125,0,0.0052601723
4.4651251,0,-0.0018694777
4.4701252,0,-0.0094407052
4.475625,0,-0.027418515
4.4806252,0,-0.0038428123
4.4866252,0,-0.0028672323
4.4906249,0,-0.029864106
4.4966249,0,-0.037298929
4.5006251,0,-0.028861605
4.5056248,0,-0.027958063
4.5106249,0,-0.024666646
4.515625,0,-0.02776373
4.521625,0,-0.01242973
4.5256252,0,-0.012859553
4.5306249,0,-0.017861107
4.535625,0,-0.01158959
4.5406251,0,-0.011717626
4.5466251,0,0.0095636547
4.5506248,0,-0.0040343315
4.5551252,0,-0.0031809916
4.5601249,0,0.013024398
4.565125,0,0.0010465418
4.5701251,0,0.021759083
4.5751252,0,0.021148326
4.5811248,0,0.01792595
4.585125,0,-0.005134542
4.5901251,0,0.024784056
4.5951252,0,0.019334553
4.6001248,0,0.018345559
4.6061249,0,0.01674361
4.6101251,0,0.014749891
4.6161251,0,0.0097180884
4.6201248,0,0.0089118555
4.6256251,0,0.0045966245
4.6306248,0,-0.0012644636
4.6366248,0,-0.0067619844
4.640625,0,-0.0028299566
4.646625,0,-0.0098004723
4.6506252,0,-0.016955178
4.6556249,0,-0.014806635
4.660625,0,-0.016992958
4.6656251,0,-0.014539041
4.6716251,0,-0.023678334
4.6756248,0,-0.067400813
4.680625,0,-0.0030663796
4.6851249,0,-0.014148825
4.690125,0,-0.048174702
4.6951251,0,-0.0026342676
4.7001252,0,0.024370933
4.7061248,0,0.01144997
4.710125,0,-0.025129907
4.716125,0,-0.010478474
4.7201252,0,0.0078946492
4.7251248,0,0.0092991712
4.7311249,0,-0.006886364
4.7351251,0,0.032592338
4.7401252,0,-0.043766938
